spoken_hook,spoken_hook_framework,spoken_hook_structure,visual_hook_graphic,visual_hook_movement,visual_hook_layout,text_hook,audio_hook_structure,video_link,niche,content_type,performance_rank,views
"Watch this, Im speaking right now in my normal voice. But listen to what happens when I switch it.","Watch this, Im [X normal action]. But listen to what happens when I [Y change]",Experimentation,"Creator A-Roll,Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/adamstewartmarketing/reel/DF793LCqIUn/,Content Marketing,Education,4,5415722
"If you make fake snares in your head before you go to sleep, its a sign of mental illness.","If you [X behavior], its a sign of [Y condition]",Educational/Tutorial,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Slow Zooms","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DKCr9nVOPwH/,Content Marketing,Entertainment,2,5401113
Social. Media. Is. Dead.,[X]. Is. [Y],Raw Shock,Example Videos,B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],SFX only,https://www.instagram.com/rpn/reel/C9sN8PKJ240/,Content Marketing,Entertainment,6,4981240
"So, this is the future of jobs report that just came out and it details just how much the global economy is going to change by 2030.","So, this is the [X report] that just came out and it details just how much the [Y subject] is going to change by [Z year]",Fortuneteller,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in studio),Future of [X thing],No audio,https://www.instagram.com/rpn/reel/DEph_iVxGr9/,Tech,Education,7,4980817
"If youre a model, Im sorry.","If youre a [X profession], Im sorry",Contrarian/Negative,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/nomadatoast/reel/DHBUpY4tiZF/,Content Marketing,Entertainment,3,4892849
You can take an image of Luigi here and turn it into a super sharp 3D model,You can take [X input] and turn it into [Y output],Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/nomadatoast/reel/C_kjQrtADNI/,Tech,Education,4,4872906
"If you have excessive menstrual flow, aka you bleed too much every time of the month, you can try jujubes.","If you have [X condition], aka [Y plain explanation], you can try [Z remedy]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/kunhealth/reel/DBYz3guOq5n/,Content Marketing,Education,2,4666049
Let me show you the craziest part about the Vision Pro.,Let me show you the [X superlative] part about the [Y product],Educational/Tutorial,"Creator A-Roll,Creator in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],Music only,https://www.instagram.com/rpn/reel/C2-JTGgsRBl/,Tech,Entertainment,8,4663467
"Ever since I was five years old, I always wondered, is it possible to get one of the big prizes at an arcade?","Ever since I was [X age] years old, I always wondered, [Y question]?",Question,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/minolee.mp4/reel/C_1IQzyI6Y6/,Content Marketing,Entertainment,1,4619552
"So someone asked me the other day, prove to me that branding works. Alright....","So someone asked me the other day, prove to me that [X concept] works. Alright...",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.tiktok.com/@brandbosshq/video/7179196779240475947,Content Marketing,Education,1,4500000
Eye gua sha really helps dark circles because look how many acupoints or energy points are around your eye,[X treatment] really helps [Y problem] because look how many [Z detail],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/treatmentbylanshin/reel/C1dGHFquMgP/,Content Marketing,Education,1,4339143
"Stop designing custom icons. So, designers often feel pressured to design everything custom in their products, including icons. But this isnt great practice, so I recommend these three libraries to save you a bunch of time.","Stop [X common practice]. So, [Y professionals] often feel pressured to [Z expectation]. But this isnt great practice, so I recommend these [number] [solutions] to save you a bunch of time",Contrarian/Negative,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",[X shocking thing],No audio,https://www.instagram.com/zanderwhitehurst/reel/DABHlSOASqt/,Content Marketing,Education,1,4296328
And I dont think Ive ever heard you answer this. How do you go about building these AI tools for creators that are infinitely useful but also maintain that authenticity and that human connection?,And I dont think Ive ever heard you answer this. How do you go about [X complex challenge]?,Question,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/kallaway/reel/C8uZzh0pvPN/,Tech,Education,8,4213574
"These three brothers made billions just by copying ideas, and they never went to jail, and youll see why.","These [X people] made [Y amount] just by [Z controversial method], and they never [consequence], and youll see why",Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/codiesanchez/reel/DJC3dZ_TLxK/,Content Marketing,Education,1,4059673
"So this tool changes your clothes using AI, but you can use this on thumbnails to create stunning visuals in just a few clicks.","So this tool [X function] using AI, but you can use this on [Y alternative use] to create [Z result] in just a few clicks",Educational/Tutorial,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,Music + SFX,https://www.instagram.com/rourkeheath/reel/DEuAxVftWQY/,Tech,Education,2,4027328
"No matter what they tell you, size matters.","No matter what they tell you, [X statement] matters",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),SFX only,https://www.instagram.com/devinjatho/reel/CpQhkDugUGr/,Content Marketing,Education,2,4002624
Why do most AI photos look like AI? Because the prompts suck.,Why do most [X] look like [Y]? Because [Z reason],Secret Reveal,Example Videos,"B-Roll - Quick Cuts,B-roll - Text Overlays",Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/ohneis652/reel/DItK02BP6a8/,Content Marketing,Education,1,3910726
Are you buying the product or are you buying the brand?,Are you buying the [X] or are you buying the [Y]?,Question,"Creator A-Roll,Image Screenshots,Subject in B-Roll","A-Roll - None,B-roll - Text Overlays",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/orenmeetsworld/reel/C09iRC6xoG3/,Content Marketing,Education,2,3840154
If you create any kind of content for brands then youre going to want to hear about this new feature from Adobe.,If you create any kind of [X work] for [Y clients] then youre going to want to hear about this new feature from [Z company],Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/rourkeheath/reel/DBbIkjBtmzJ/,Content Marketing,Education,3,3726341
"This experiment is dark, but it proved something real about belief.","This experiment is [X adjective], but it proved something real about [Y concept]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DI1d5aMun9W/,Content Marketing,Entertainment,3,3712802
"Yeah, this is utterly insane. She is 100% AI","Yeah, this is [X adjective]. [Y subject] is 100% [Z fact]",Secret Reveal,"Creator A-Roll,Image Screenshots","B-Roll - Quick Cuts,B-Roll - Slow Zooms",Full screen B-roll w/ A-roll overlaid,[X shocking thing],SFX only,https://www.instagram.com/rpn/reel/C-bNBWFvwxT/,Tech,Entertainment,10,3680432
What happened to aesthetic gyms? Now everything is so efficient and serious. What used to be aspirational has turned into clinical. Its time to rewrack aesthetics into their rightful place.,What happened to aesthetic [X places]? Now everything is so [Y state]. What used to be [Z positive] has turned into [negative]. Its time to [action],Contrarian/Negative,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/hansloreidesign/reel/DA_7YdHo3S2/,Content Marketing,Entertainment,2,3661539
"Im sorry, but this has gotta be a cash cow.","Im sorry, but this has gotta be a [X metaphor]",Contrarian/Negative,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/thekoerneroffice/reel/DJLDpJXxrXf/,Content Marketing,Education,3,3657103
It is far better for a woman to be obsessed with a man than a man to be obsessed with a woman.,It is far better for [X group] to [Y behavior] than [Z group] to [same behavior],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DI4C0G1ujqK/,Content Marketing,Entertainment,4,3648644
And boom. With zero technical skills you can generate CGI effects and assets with Generate Video powered by the new Firefly video model.,And boom. With zero technical skills you can [X create output] with [Y tool],Secret Reveal,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/nomadatoast/reel/DF-a-0rtHAM/,Tech,Education,5,3572606
Here are three websites that are completely free that every creator needs to know.,Here are [X number] websites that are completely free that every [Y audience] needs to know,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music + SFX,https://www.instagram.com/iamajene/reel/DFGJK0ct_yj/,Content Marketing,Education,1,3552723
"This is the Limitless Zoom, and its very easy to make.","This is the [X technique], and its very easy to [Y action]",Educational/Tutorial,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in world),Captions (repeat of spoken),SFX only,https://www.instagram.com/karl_shakur/reel/CuxDTCaON0t/,Content Marketing,Education,7,3546487
"Stop designing are-you-sure modals. This is one of the most common UI components, but designers often get this wrong. So in less than 30 seconds, Im going to show you how to design a better confirmation modal.","Stop designing [X element]. This is one of the most common [Y components], but [Z professionals] often get this wrong. So in less than [time], Im going to show you how to [better approach]",Contrarian/Negative,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",[X shocking thing],No audio,https://www.instagram.com/zanderwhitehurst/reel/DAQf2QEAT7Z/,Content Marketing,Education,2,3544820
"So apparently if you take a nap for 20 minutes right after chugging caffeine, it makes you the most wired and awake youve ever been.","So apparently if you [X action] right after [Y action], it makes you [Z result]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/minolee.mp4/reel/DEr4pQwRLGr/,Content Marketing,Entertainment,2,3525280
My wife and I lost our multimillion dollar home in a landslide but the bank still chases us for the mortgage.,My [X person] and I lost our [Y asset] in [Z disaster] but [unfair consequence],Raw Shock,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/DA9vtfjSUIB/?hl=en,Content Marketing,Entertainment,2,3517829
"Lets check this out. Yeah, Im not going to sell the property...","Lets check this out. Yeah, [X statement]...",Raw Shock,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",Captions (repeat of spoken),No audio,https://www.instagram.com/themortgagekitchen/reel/DEEMcEvpPwZ/?hl=en,Content Marketing,Entertainment,3,3512423
"Check this out, this headband is gonna revolutionize the way we sleep. Its called the Elemind. And the people that use it fall asleep way faster than normal. Its pretty crazy.","Check this out, this [X device] is gonna revolutionize the way we [Y activity]. Its called the [Z name]. And the people that use it [benefit]. Its pretty crazy",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X shocking thing],Music + SFX,https://www.instagram.com/kallaway/reel/DGyDvJ7PHbA/,Tech,Entertainment,9,3443148
"Simone Biles has gone on record to say, Rebecca Andrade scares her most and its for good reason.","[X famous person] has gone on record to say, [Y person] scares them most and its for good reason",Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/C-bA7-ARa3t/,Content Marketing,Entertainment,5,3398570
"You can take a Pokemon image, and turn it into a 3D model, animate it from the selection here, add it to your design,and boom. Moving posters for billboards or social media.","You can take [X image], and turn it into [Y format], [Z additional steps], and boom. [final application]",Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),SFX only,https://www.instagram.com/nomadatoast/reel/DF7W5NtAURd/,Tech,Education,6,3316529
"Check this out, this company built an AI headset that lets you control your dreams. Imagine Inception, but in real life, whenever you want. And they do this by activating lucid dreams. Its insane.","Check this out, this company built [X product] that lets you [Y capability]. Imagine [Z pop culture reference], but in real life, whenever you want. And they do this by [method]. Its insane",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X subject] does [Y thing],Music + SFX,https://www.instagram.com/kallaway/reel/DFNkYyyPB8s/,Tech,Entertainment,10,3242375
"Just a few days ago, we used AI to launch a swimsuit company to see if we could go from zero to 50,000 in revenue in just 120 days.","Just a few days ago, we used AI to launch [X business] to see if we could go from zero to [Y revenue] in just [Z time]",Experimentation,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),No audio,https://www.tiktok.com/@jimmyslags_/video/7241329643565894955,Content Marketing,Education,1,3200000
Do these six things with your money as soon as you get paid.,Do these [X number] things with your [Y resource] as soon as you [Z trigger],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),[X subject] does [Y thing],No audio,https://www.instagram.com/nischa.me/reel/C3RuZaOyqJb/,Content Marketing,Education,3,3137205
"Yo, check it out. I got 80,000 people tuning in to the live stream.","Yo, check it out. I got [X number] people tuning in to the [Y event]",Raw Shock,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),[X shocking thing],SFX only,https://www.instagram.com/rpn/reel/C1A6PoCNixz/,Tech,Entertainment,11,3065049
"So when youre buying a home, right, essentially the month in which you buy it is not the first mortgage payment youll make.","So when youre [X major action], right, essentially [Y counterintuitive fact]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/C10FY6oS4Vv/?hl=en,Content Marketing,Education,4,3024446
Im so glad this guy is okay. This man who had to go to the ER because of ice water.,Im so glad this guy is okay. This [X person] who had to go to the ER because of [Y surprising cause],Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/treatmentbylanshin/reel/C4_jKwvu11g/,Content Marketing,Education,3,3009683
Stop using your brand color as your primary color.,Stop using your [X] as your [Y],Contrarian/Negative,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",[X shocking thing],No audio,https://www.instagram.com/zanderwhitehurst/reel/C7ixO4lNaSM/,Content Marketing,Education,3,3007711
How do we get the same character to show up in all of our AI videos?,How do we get [X consistency challenge] in all of our [Y content]?,Question,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts",Split screen A-roll + B-roll,None,Music + SFX,https://www.instagram.com/rourkeheath/reel/DGN7voTtiZm/,Tech,Education,4,2905191
This is how much should be in your emergency fund and where to save it based on your employment type.,This is how much should be in your [X fund] and where to [Y action] based on your [Z situation],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/nischa.me/reel/C3Cfsk5yC3l/,Content Marketing,Education,4,2882880
"Just seven years ago, the best female road cyclist in the world was learning how to bike in Central Park.","Just [X time] ago, the best [Y category] in the world was [Z humble beginning]",Secret Reveal,Subject in B-Roll,B-Roll - Swipe Transitions,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/C-V714qxfq_/,Content Marketing,Entertainment,6,2871165
"Like a spy, no one can tell these glasses project content right in front of me to cheat on exams and in casinos like James Bond.","Like a spy, no one can tell these [X device] [Y capability] like [Z reference]",Secret Reveal,Creator in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Music + SFX,https://www.instagram.com/nomadatoast/reel/DFUu324gU3s/,Tech,Entertainment,7,2845802
Have you ever saw this guy before or him or him or his name is Wojack and theres a website where you can get loads of him or you can create your own for the free-ski.,Have you ever saw [X] before? His name is [Y] and theres a website where you can [Z benefit] for free,Educational/Tutorial,"Creator A-Roll,Image Screenshots",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Music + SFX,https://www.instagram.com/iamajene/reel/C8cwN3XN6Lv/,Content Marketing,Education,2,2823855
"Being hot needs to be your priority. Honey, youre going to spend your whole life trying to undo that mentality, and then youre going to break a hip when youre 65.","[X bad advice]. Honey, youre going to spend your whole life trying to undo that mentality, and then [Y consequence]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/jenlatch/reel/DJsIBeyzaAe/,Content Marketing,Education,5,2740142
What if I told you that youre only six months away?,What if I told you that youre only [X time] away?,Fortuneteller,"Creator in B-Roll,Non-person B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/tomnoske/reel/C6vZT4RP0Jz/,Content Marketing,Education,1,2737113
I just flew 36 hours to attend the biggest marketing event called Inbound by Hubspot,I just flew [X time] to attend the biggest [Y event] called [Z name] by [company],Experimentation,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),No audio,https://www.tiktok.com/@samdespo/video/7416479437446745362,Content Marketing,Entertainment,1,2700000
"Tua is getting blasted for refusing to wear a guardian cap when he comes back, but hes making the right move.","[X person] is getting blasted for [Y action], but theyre making the right move",Secret Reveal,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/DBcWGeIRlPZ/,Content Marketing,Entertainment,7,2626767
It took me 10 years to learn everything Im about to tell you.,It took me [X time] to learn everything Im about to tell you,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.tiktok.com/@mr.paidsocial/video/7328982772666764590,Content Marketing,Education,1,2600000
"You know, I really thought life would get better once I made 10k a month.","You know, I really thought life would get better once I [X achievement]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),SFX only,https://www.instagram.com/minolee.mp4/reel/DDL7FnZRpoy/,Content Marketing,Entertainment,3,2589543
The mistake I made when it comes to money is staying at my first job for too long.,The mistake I made when it comes to [X topic] is [Y specific error],Experimentation,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/nischa.me/reel/C347gEMMrKh/,Content Marketing,Education,5,2576962
Theres no coach in sports youve been lied to more about than Mike Tomlin.,Theres no [X role] in [Y field] youve been lied to more about than [Z person],Secret Reveal,Subject in B-Roll,"B-Roll - Quick Cuts,B-Roll - Swipe Transitions",Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/DA3dURmxZTx/,Content Marketing,Entertainment,8,2554477
Doctors do not respect Gua Sha.,[X authority] do not respect [Y practice],Educational/Tutorial,"Creator A-Roll,Example Videos","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),No audio,https://www.instagram.com/treatmentbylanshin/reel/C1LA3z4OVmE/,Content Marketing,Education,4,2550972
Dont tell me eating healthy is too expensive. This is a negative hook.,Dont tell me [X excuse]. This is a [Y type] hook,Contrarian/Negative,Example Videos,B-roll - Text Overlays,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/peter.visuals/reel/DF-Y9O5Pk6J/,Content Marketing,Education,1,2538007
"So when you open a restaurant, the first person that knocks on your door will not be a customer. Itll be someone from Coca-Cola and they will be offering you a free fridge. But is it a free fridge?","So when you open a [X business], the first person that knocks on your door will not be a [Y expected person]. Itll be someone from [Z company] and they will be offering you [deal]. But is it [good]?",Secret Reveal,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in world),Full screen A-roll (partial graphic overlay),Full screen B-roll",Captions (repeat of spoken),Music + SFX,https://www.instagram.com/daviefogarty/reel/CzdQtBXxTgB/?hl=en,Content Marketing,Education,1,2514861
"So, the design of this chocolate bar, and almost everything that this company does, serves a role in highlighting their mission.","So, the design of this [X product], and almost everything that this company does, serves a role in highlighting their [Y]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),No audio,https://www.instagram.com/shwinnabegobrand/reel/Cz6ctdjOAuJ/,Content Marketing,Education,2,2502073
Pretty much everything in my life changed when I started doing things that would make me more fuckable.,Pretty much everything in my life changed when I started doing things that would make me more [X quality],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/robthebank/reel/DH_Qjmlu712/,Content Marketing,Entertainment,5,2470019
There are only two people in this world that you need to make proud.,There are only [X number] people in this world that you need to [Y goal],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DJ1w6qbOtXA/,Content Marketing,Entertainment,6,2456752
"I dont know who needs to hear this, but uninstalling video games is not gonna make you successful.","I dont know who needs to hear this, but [X common advice] is not gonna make you successful",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/minolee.mp4/reel/DFLW_J7xFn6/,Content Marketing,Entertainment,4,2451649
"Stop adding buttons to cards. Super fast. In 30 seconds, Im going to show you why teams like Nike and also Apple dont add any buttons to their cards.","Stop adding [X element] to [Y component]. Super fast. In [Z time], Im going to show you why teams like [companies] dont add any [X] to their [Y]",Contrarian/Negative,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",[X shocking thing],No audio,https://www.instagram.com/zanderwhitehurst/reel/C1ep8naNHpD/,Content Marketing,Education,4,2446734
"The most depressed person in the family is not the mother, its not the father, its not the daughters. Its the eldest son.",The most [X trait] person in the [Y group] is not [Z expected person]. Its [unexpected person],Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/robthebank/reel/DKSJKLquinV/,Content Marketing,Entertainment,7,2444409
"Yo, check this out. What if I told you you could get all these images for free?","Yo, check this out. What if I told you you could get [X thing] for free?",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/karl_shakur/reel/CvAQEdppb5k/,Content Marketing,Education,9,2383274
"All we have to do is sell 200 people on a $500 product and we make $100,000 in one hour",All we have to do is [X simple calculation] and we make [Y result],Secret Reveal,Creator in B-Roll,B-Roll - Slow Zooms,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/minolee.mp4/reel/DFWrm_WRH4K/,Content Marketing,Entertainment,5,2343306
While everyone is dishing sleek and going cozy. The people are craving traditional design right now.,While everyone is [X trend] and going [Y trend]. The people are craving [Z opposite] right now,Contrarian/Negative,"Creator A-Roll,Image Screenshots","A-Roll - None,B-Roll - Quick Cuts",Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),No audio,https://www.instagram.com/hansloreidesign/reel/DGl-8wgoeOR/,Content Marketing,Entertainment,3,2311212
J.P. Morgan are now saying the chances of a recession are around 60 percent. Its gone up from 40 to 60 almost overnight. This is all coming off the back of these tariffs.,[X authority] are now saying the chances of [Y event] are around [Z percentage]. Its gone up from [old percentage] to [new percentage] almost overnight. This is all coming off the back of [cause],Secret Reveal,"Creator A-Roll,Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/DIC-uAApcJN/?hl=en,Content Marketing,Education,5,2309188
"Is it possible to get a really good chest, tricep, and shoulder workout in just 3 minutes?",Is it possible to get a really good [X result] in just [Y time]?,Question,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),SFX only,https://www.instagram.com/minolee.mp4/reel/DJaWdvdxVOw/,Content Marketing,Entertainment,6,2302326
"Its a really easy way to save yourself at least $100,000 when youre buying a home...",Its a really easy way to save yourself at least [X amount] when youre [Y action]...,Educational/Tutorial,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in studio),Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/C_jjOwzSS9t/?hl=en,Content Marketing,Education,6,2291393
Should interior designers be worried about this?,Should [X profession] be worried about this?,Question,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),SFX only,https://www.instagram.com/nomadatoast/reel/DGQc37kNcJ7/,Content Marketing,Entertainment,8,2270753
"Jaden Daniels has an advantage over every other QB in the NFL, and it has absolutely nothing to do with his ability to run.","[X person] has an advantage over every other [Y position] in the [Z league], and it has absolutely nothing to do with [expected skill]",Secret Reveal,Subject in B-Roll,"B-Roll - Quick Cuts,B-Roll - Swipe Transitions",Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/DArIMx9Px3q/,Content Marketing,Entertainment,9,2268600
Two things you can do ASAP to set your kids up for life coming from a qualified accountant and a former investment banker,[X number] things you can do ASAP to [Y goal] coming from [Z credible sources],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),No audio,https://www.instagram.com/nischa.me/reel/C_r7zfgSppy/,Content Marketing,Education,6,2266761
Whats happened in LA right now is very very sad and if theres one thing I can say about this its insurance companies now are going to have 80 billion dollars worth of damages to pay out and the likelihood of that coming anytime soon is very very slim.,Whats happened in [X location] right now is very very sad and if theres one thing I can say about this its [Y industry] now are going to have [Z amount] worth of [obligation] and the likelihood of [outcome] is very very slim,Secret Reveal,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts","Full screen A-roll (in studio),Full screen B-roll",Captions (repeat of spoken),Music only,https://www.instagram.com/themortgagekitchen/reel/DEq5isSpWW-/?hl=en,Content Marketing,Education,7,2244885
So I just spent the last 7 days paying and testing for all of the best AI video generation tools and all of the best AI image tools so that I could create these AI ads.,So I just spent the last [X time] paying and testing for all of the best [Y tools] so that I could create [Z result],Experimentation,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/rourkeheath/reel/DGczwtVgzhE/,Tech,Education,5,2235814
The Pittsburgh Pirates may never be able to sign a free agent again.,The [X team] may never be able to [Y action] again,Contrarian/Negative,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/DAWk-Z1x63v/,Content Marketing,Entertainment,10,2230870
